[16:53:08]   dism[install]: Installing 109 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\88110x64\SAS_7.5.0.58012\adpenc.inf: The driver package was successfully installed.
[16:53:09]   dism[install]: Installing 110 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\88110x64\SAS_7.5.0.58012\archba.inf: The driver package was successfully installed.
[16:53:09]   dism[install]: Installing 111 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\88110x64\SAS_7.5.0.58012\arcsas.inf: The driver package was successfully installed.
[16:53:09]   dism[install]: Installing 112 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\88110x86\ADP_1.4.0.11068\adp80xx.inf: The driver package was successfully installed.
[16:53:10]   dism[install]: Installing 113 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\Allx64\160M\adpu160m.inf: The driver package was successfully installed.
[16:53:10]   dism[install]: Installing 114 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\Allx64\1xx5\amd64\adpinv.inf: The driver package was successfully installed.
[16:53:10]   dism[install]: Installing 115 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\Allx64\3132\amd64\adp3132.inf: Error - The driver package contains x64 boot-critical drivers, but the drivers are not properly signed. 
[16:53:11]   dism[install]: Use the /forceunsigned option to install the drivers.
[16:53:11]   dism[install]: Installing 116 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\Allx64\320R\a320raid.inf: The driver package was successfully installed.
[16:53:11]   dism[install]: Installing 117 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\Allx64\320S\ADPU320.INF: The driver package was successfully installed.
[16:53:11]   dism[install]: Installing 118 of 974 - C:\Users\chris\AppData\Local\Temp\WinUtil_ExtDrivers_487793594\storage\Adaptec\FORCED\Allx64\81xx\amd64\aar81xx.inf: The driver package was successfully installed.
